Название,Жанр,Режиссер,Страны,Год,IMDb
Так рождается песня,"биографическая, драма","Микаил Микаилов, Рза Тахмасиб",СССР,1957,
Тайны святого Юра,"драма, антирелигиозный, исторический фильм",Валерьян Пидпалый,СССР,1982,
Тайны мукама,,Алты Карлиев,СССР,1973,
Тайное и явное (Цели и деяния сионистов),псевдодокументальный,Борис Карпов,СССР,1973,
Тайная разведка,шпионская драма,Лу Юй,Китай,1957,
Тайна германского посольства,драма,Евгений Бауэр,Российская империя,1914,
Таинственный некто,Драма,,Россия,1914,
Табу (серия фильмов),порнофильм,,США,,
"Та сторона, где ветер (фильм)",телеспектакль,В. Кеворков,СССР,1979,
Сыщик без лицензии,детектив,"Валерий Усков, Владимир Краснопольский",Россия,,
Сыщик с плохим характером,"детский, детектив","Владимир Панжев, Андрей И",Россия,2001,
Сырые дрова,,Сергей Варицкий,Россия,2007,
Сыну пора жениться,музыкальная комедия,Тахир Сабиров,"СССР, Таджикская ССР",1959,
Сын Израиля,драма,Георгий Азагаров,Российская империя,1917,
"Схватка (фильм, 1982)",психологическая драма,Юрий Ерзинкян,СССР,1982,
Сумасшедший на свободе,,,,,
"Сувенир (фильм, 1942)","драма, короткометражный фильм","Гусейн Саидзаде, Ниязи Бадалов",СССР,1942,
"Ступа (фильм, 2019)","биография, документальный фильм",Кирилл Ненашев,Россия,2019,
Стреляй немедленно!,мелодрама,Виллен Новак,"Украина, Россия",2008,
"Страшная месть (фильм, 1912)",драма,Владислав Старевич,Российская империя,1913,
Страх и отчаяние в Третьей империи (телеспектакль),телеспектакль,"А. Павлов, Давид Карасик",СССР,,
Стратегия победы,хроникально-документальный фильм,"Виктор Рабинович, Станислав Белянинов, Виктор Крюков, Игорь Беляев, Самарий Зеликин",СССР,1984,
Странный человек (фильм),"боевик, фэнтези",Чжан Чэ,Гонконг,1983,
Странное Рождество,комедия,Максим Паперник,Украина,2006,
"Странная история (фильм, 1960)","комедия, короткометражный фильм",Шуа Шейхов,"СССР, Азербайджанская ССР",1960,
Страницы Сталинградской битвы,многосерийный телевизионный хроникально-документальный фильм,"Виктор Магатаев, Анастасия Осокина",СССР,1967,
"Страницы жизни (фильм, 1974)","детский фильм, драма, киноальманах, комедия, мелодрама","Гюльбениз Азимзаде, Фикрет Алиев, Тимур Бекирзаде",СССР,1974,
Столичный яд,драма,Пётр Чардынин,Российская империя,1916,
Сто двадцать тысяч в год,социальная драма,Григорий (Гирш) Черняк,СССР,,
"Стенька Разин (фильм, 1914)",драма,Григорий Либкен,Российская империя,1914,
Старые молодые люди,драма,Олег Шухер,Россия,1992,
Старт номер сто,документальный,Алексей Китайцев,Россия,2008,
"Старик и ребёнок (фильм, 1967)",драма,Клод Берри,Франция,1967,
Старая черешня,"детский фильм, драма, короткометражный фильм",Тофик Исмайлов,"СССР, Азербайджанская ССР",1972,
Станция любви,мелодрама,Талгат Теменов,Казахстан,,
"Станционный смотритель (фильм, 1918)",Драма,Александр Ивановский,Российская Империя,,
Срочно требуется песня,документальный,Станислав Чаплин,СССР,1967,
Список фильмов кинематографической вселенной Marvel,боевик,,США,,
Список Киселёва,документальный фильм,Юрий Малюгин,Россия,2008,
Спасти тигра,Документальный фильм,Росс Кауфман,США,2019,
Спасибо (фильм),Комедия,Дмитрий Томашпольский,Россия,2003,
Софи (фильм),семейный фильм,Илья Литвак,Россия,2007,
Сотворение любви,драма,Валериу Жереги,"Россия, США, Румыния, Украина, Молдавия",2006,
Сослуживцы (телеспектакль),"телеспектакль, комедия, мелодрама, экранизация","Борис Кондратьев, Инна Герасимова",СССР,1973,
Соси банан,музыкальный фильм,Сергей Лобан,Россия,2002,
Сонм белых княжон,"документальный, исторический",Николай Обухович,Россия,1992,
